fast_ma,slow_ma,is_sharpe
10,50,-0.1252901956725493
10,100,-1.5146668529845735
10,150,-2.9806789115569257
20,50,-0.34376217296127615
20,100,-1.4582476910876325
20,150,-1.8845330479618654
30,50,0.2434171504212176
30,100,-1.1016148353645587
30,150,-2.3983025540765732
