fast_ma,slow_ma,is_sharpe
10,50,-1.8490085697161815
10,100,-1.675346799221596
10,150,-2.2281851159913573
20,50,-1.5034232056379397
20,100,-1.9244409153112647
20,150,-2.874070347449611
30,50,-2.0581393427130465
30,100,-1.4502516296956098
30,150,-2.8861132409306642
