fast_ma,slow_ma,is_sharpe
10,50,-0.19039194414029398
10,100,-0.6103750116677612
10,150,-0.6285036289512439
20,50,-0.2760519683572535
20,100,-0.36897575571485985
20,150,-0.4597339569224978
30,50,-0.021502597883765486
30,100,-1.100959630745909
30,150,-0.917680484337473
