fast_ma,slow_ma,is_sharpe
10,50,-1.2062586098664496
10,100,-1.6034617512514664
10,150,-2.3865776231921516
20,50,-0.9184691190222919
20,100,-2.233435994212032
20,150,-1.9514145979322657
30,50,-1.4801912289211323
30,100,-1.639995502863054
30,150,-2.331746117540587
