fast_ma,slow_ma,is_sharpe
10,50,-2.489998059677542
10,100,-2.652514753438077
10,150,-4.189654781661099
20,50,-2.3737820818150843
20,100,-2.549637976348724
20,150,-4.573726771658016
30,50,-3.284415050461066
30,100,-2.656722276862909
30,150,-3.5223319959604735
